"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene6805",1.80678687297855e-117,2.12373854096787,0.951,0.12,3.56253743715608e-111,"10","gene6805"
"gene32043",2.33104133806158e-117,2.0702149840796,0.951,0.118,4.59623775144694e-111,"10","gene3204"
"gene58672",2.65214094836809e-117,1.92664766563523,0.877,0.095,5.22936687136762e-111,"10","gene5867"
"gene6280",2.71441053750453e-117,1.82346980507231,0.84,0.085,5.35214712055618e-111,"10","gene6280"
"gene9934",4.72780521455356e-117,1.36499151004878,0.802,0.072,9.32206411521163e-111,"10","gene9934"
"RNF2202",5.30921763792243e-117,1.65372916334337,0.951,0.113,1.04684658052265e-110,"10","RNF220"
"srp-1.1",5.38535362877517e-117,1.65111047232429,0.827,0.079,1.06185871735983e-110,"10","srp-1.1"
"gene8591",6.36780951158067e-117,1.66981375411033,0.864,0.088,1.25557475078877e-110,"10","gene859"
"TASP11",7.96541872522937e-117,2.24056187076934,0.926,0.114,1.57058382677272e-110,"10","TASP1"
"gene43422",1.0946415635801e-116,2.25735711331232,0.938,0.119,2.15836278691374e-110,"10","gene4342"
"gene58011",1.22785779017149e-116,1.76395964634236,0.877,0.096,2.42103228134401e-110,"10","gene5801"
"gene36491",1.84284927963851e-116,2.76167538800268,0.988,0.142,3.63364359567507e-110,"10","gene3649"
"REV12",2.09832554738899e-116,2.0131243893046,0.877,0.098,4.13737969304089e-110,"10","REV1"
"gene57301",2.2593089536664e-116,1.76641948503016,0.914,0.107,4.45479920731859e-110,"10","gene5730"
"gene78061",3.15632650153884e-116,2.13246221237713,0.951,0.118,6.22349624838871e-110,"10","gene7806"
"AMACR",4.91618551558769e-116,1.79802512258319,0.877,0.095,9.69350353891658e-110,"10","AMACR"
"gene133112",5.39280773074007e-116,2.11002400010005,0.877,0.097,1.06332848215099e-109,"10","gene13311"
"gene13828",5.53211922759731e-116,1.58037770341612,0.827,0.082,1.09079726833727e-109,"10","gene13828"
"gene51802",7.06133802149093e-116,1.43564905921879,0.802,0.073,1.39232144278888e-109,"10","gene5180"
"PMCA",7.66354746576674e-116,1.6849597815774,0.864,0.09,1.5110622706268e-109,"10","PMCA"
"gene10922",7.79266502999474e-116,1.56548395406399,0.84,0.082,1.53652106508872e-109,"10","gene1092"
"gene145491",9.77127869742247e-116,2.12893798189659,0.914,0.111,1.92665480854789e-109,"10","gene14549"
"gene11222",1.05354282539712e-115,2.56624009327309,0.975,0.136,2.07732622660525e-109,"10","gene1122"
"CSNK1E1",1.09903434055958e-115,1.7162757844315,0.864,0.091,2.16702425810138e-109,"10","CSNK1E"
